College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Gender,MBA_Percentage,SSC_Percentage,HSC_Percentage,Salary,placement_success,Specialization
CLG0055,105,6.17,6.22,4,No,9,10,4,No,Female,96.82,57.04,92.79,0,Unplaced,IT
CLG0051,90,7.94,7.61,2,No,10,7,2,No,Female,60.48,97.26,75.8,0,Unplaced,IT
CLG0069,105,9.62,9.12,1,Yes,1,2,1,No,Female,82.11,96.65,61.91,0,Unplaced,Finance
CLG0088,123,8.74,9.11,8,No,2,9,0,Yes,Female,89.63,61.28,59.66,400000,Average,Operations
CLG0073,99,8.33,8.5,2,No,10,10,3,Yes,Male,79.4,80.72,97.7,300000,Average,Operations
CLG0097,123,7.91,7.51,4,No,0,9,1,No,Female,63.42,51.4,60.14,0,Unplaced,Marketing
CLG0034,60,7.44,7.6,10,Yes,2,2,4,No,Male,98.9,96.59,90.41,0,Unplaced,Operations
CLG0027,112,5.93,6.04,5,No,3,9,3,Yes,Female,80.72,76.15,68.45,400000,Average,Marketing
CLG0097,101,9.47,9.44,2,No,5,9,4,Yes,Female,84.57,52.16,99.28,800000,Unplaced,Finance
CLG0038,95,6.24,6.16,10,No,2,10,2,No,Female,69.46,67.12,68.41,0,Unplaced,IT
CLG0029,101,5.46,5.85,9,Yes,10,6,4,No,Male,79.34,53.84,67.58,0,Unplaced,IT
CLG0035,70,8.75,8.5,2,No,5,5,0,No,Female,77.17,69.65,81.87,0,Unplaced,IT
CLG0020,96,5.88,5.78,6,No,1,10,2,No,Male,63.0,83.5,98.08,0,Unplaced,Operations
CLG0019,105,6.86,6.69,7,No,10,2,5,No,Female,64.25,73.49,98.81,0,Unplaced,Finance
CLG0005,122,5.14,5.41,6,No,7,6,5,No,Male,93.5,69.19,85.36,0,Unplaced,Operations
CLG0025,92,5.69,6.11,4,No,4,9,1,No,Female,69.59,55.96,87.73,0,Unplaced,Operations
CLG0093,87,5.87,6.22,1,No,0,3,3,No,Male,67.8,62.25,78.17,0,Unplaced,Finance
CLG0026,92,5.27,5.57,2,No,5,3,3,No,Male,80.2,55.01,87.79,0,Unplaced,Finance
CLG0051,113,8.28,8.77,10,No,2,4,0,No,Female,90.75,90.37,92.99,0,Unplaced,Finance
CLG0066,104,9.19,9.39,10,Yes,3,10,4,Yes,Male,62.48,56.76,74.3,400000,Average,Finance
CLG0061,92,6.87,7.12,6,No,9,4,1,No,Female,83.07,79.77,80.99,0,Unplaced,IT
CLG0015,107,9.37,9.85,8,Yes,7,1,5,No,Female,64.77,67.14,76.87,0,Unplaced,HR
CLG0045,101,6.07,5.58,3,Yes,7,2,4,No,Female,61.46,61.3,78.12,0,Unplaced,HR
CLG0006,114,6.63,6.76,7,No,10,6,5,No,Female,62.11,81.97,94.5,0,Unplaced,Finance
CLG0058,89,5.75,5.99,9,No,7,5,4,No,Female,93.37,72.85,67.78,0,Unplaced,HR
CLG0001,95,8.1,8.52,4,Yes,4,10,0,No,Female,64.72,70.01,60.41,0,Unplaced,HR
CLG0073,94,7.1,7.48,7,No,0,4,5,No,Female,61.81,79.64,72.81,0,Unplaced,Finance
CLG0043,78,8.07,8.41,7,No,8,10,2,Yes,Female,77.52,74.56,60.4,1200000,High,HR
CLG0016,104,8.81,9.26,10,No,10,9,5,Yes,Female,93.76,65.17,74.92,600000,Unplaced,Operations
CLG0014,103,7.73,7.77,9,Yes,8,2,2,No,Female,70.5,77.95,95.18,0,Unplaced,Marketing
CLG0074,100,8.14,7.65,3,No,7,8,0,No,Female,76.87,83.47,80.87,0,Unplaced,Marketing
CLG0019,96,9.68,9.19,1,Yes,10,4,0,No,Male,61.6,51.33,92.77,0,Unplaced,Finance
CLG0051,78,6.5,6.54,8,Yes,2,9,0,No,Male,77.96,73.29,58.31,0,Unplaced,IT
CLG0008,93,6.8,6.74,4,No,5,4,4,No,Female,83.1,52.88,95.04,0,Unplaced,Finance
CLG0048,94,8.59,8.54,2,No,6,2,5,No,Female,82.84,59.32,80.09,0,Unplaced,IT
CLG0012,87,8.06,7.96,5,No,3,6,5,No,Female,73.3,78.03,51.59,0,Unplaced,Marketing
CLG0070,97,5.89,6.31,4,No,9,9,4,No,Female,72.62,93.31,81.66,0,Unplaced,Finance
CLG0035,106,6.88,6.74,1,Yes,6,7,1,No,Female,64.26,94.14,97.57,0,Unplaced,Operations
CLG0070,128,7.34,7.7,7,No,8,1,0,No,Female,74.67,53.5,53.96,0,Unplaced,HR
CLG0006,102,7.1,7.5,4,No,5,9,4,No,Female,63.98,70.96,79.12,0,Unplaced,IT
CLG0099,103,5.89,5.89,8,Yes,1,6,2,No,Female,90.66,79.15,95.77,0,Unplaced,HR
CLG0011,98,9.62,9.57,9,No,5,9,5,Yes,Male,98.65,57.35,50.48,1200000,High,HR
CLG0038,71,8.81,9.07,8,Yes,2,2,5,No,Female,98.8,88.27,81.55,0,Unplaced,Finance
CLG0091,99,7.41,7.62,1,No,6,7,0,No,Male,94.6,87.21,73.75,0,Unplaced,HR
CLG0026,100,8.4,8.23,8,Yes,2,8,2,Yes,Female,84.03,95.17,67.35,800000,Unplaced,Operations
CLG0028,136,9.49,9.09,5,No,7,8,3,Yes,Female,88.03,50.42,81.38,300000,Average,HR
CLG0072,97,5.68,5.44,1,Yes,10,5,1,No,Male,71.41,60.83,52.64,0,Unplaced,Finance
CLG0089,104,6.25,5.88,9,Yes,10,7,3,No,Female,85.23,91.36,87.65,0,Unplaced,Operations
CLG0083,99,7.71,7.5,9,No,4,7,1,No,Male,78.23,83.53,50.22,0,Unplaced,Marketing
CLG0080,82,9.0,8.76,7,No,2,3,0,No,Female,79.28,94.72,65.35,0,Unplaced,HR
CLG0050,117,5.18,5.32,7,No,0,2,5,No,Female,90.31,52.86,75.2,0,Unplaced,Finance
CLG0058,111,9.92,10.37,1,No,4,5,1,No,Male,71.28,79.85,68.85,0,Unplaced,Marketing
CLG0026,111,7.27,7.46,9,No,9,4,4,No,Female,72.72,78.45,65.37,0,Unplaced,Marketing
CLG0044,86,6.8,7.23,1,Yes,9,8,2,No,Male,96.99,51.78,91.54,0,Unplaced,IT
CLG0015,121,6.46,6.74,7,No,10,5,5,No,Female,62.25,75.68,96.74,0,Unplaced,Operations
CLG0076,78,5.87,6.1,9,No,2,9,4,No,Male,79.43,80.48,93.69,0,Unplaced,HR
CLG0024,108,8.96,8.87,9,No,3,7,0,No,Male,96.51,59.56,76.12,0,Unplaced,Finance
CLG0077,132,9.78,9.6,5,No,9,1,3,Yes,Female,84.41,63.67,94.21,300000,Average,IT
CLG0059,85,7.07,7.42,6,No,3,2,2,No,Female,81.86,82.02,96.04,0,Unplaced,Operations
CLG0057,91,9.76,10.17,2,No,2,8,0,No,Male,69.99,73.42,70.46,0,Unplaced,IT
CLG0017,101,9.12,9.07,2,No,5,10,4,Yes,Female,73.73,92.9,64.17,800000,Unplaced,Operations
CLG0077,92,7.41,6.92,10,No,5,8,4,No,Female,94.08,67.12,54.91,0,Unplaced,Operations
CLG0081,76,8.37,8.66,9,No,0,2,1,No,Female,82.37,63.33,73.95,0,Unplaced,HR
CLG0001,101,7.17,6.96,1,No,3,7,1,No,Male,80.59,99.24,97.31,0,Unplaced,Operations
CLG0011,84,7.79,7.3,10,Yes,0,8,3,No,Male,63.98,95.56,78.05,0,Unplaced,IT
CLG0020,107,5.29,5.59,5,Yes,6,4,1,No,Male,60.64,51.45,83.38,0,Unplaced,Operations
CLG0031,86,8.48,8.5,7,No,6,3,1,No,Male,98.55,88.54,55.64,0,Unplaced,HR
CLG0099,123,5.26,5.45,10,Yes,5,10,1,No,Male,75.08,55.52,57.18,0,Unplaced,HR
CLG0039,88,9.09,9.5,6,No,10,9,3,Yes,Male,84.13,51.37,73.22,400000,Average,IT
CLG0063,95,9.12,9.16,6,No,1,2,0,No,Male,63.19,63.68,97.56,0,Unplaced,Marketing
CLG0006,112,6.19,6.19,6,No,3,3,5,No,Male,87.32,63.47,68.04,0,Unplaced,Marketing
CLG0099,81,6.62,6.41,8,No,2,8,2,No,Male,97.3,90.97,93.87,0,Unplaced,Operations
CLG0028,103,7.41,7.22,7,Yes,10,2,0,No,Female,83.03,85.53,56.01,0,Unplaced,Finance
CLG0051,119,7.98,8.28,5,No,7,5,5,Yes,Male,65.04,99.08,80.85,300000,Average,Operations
CLG0053,75,6.44,6.39,10,No,1,10,5,No,Female,83.27,85.58,80.03,0,Unplaced,IT
CLG0044,102,7.96,7.62,2,Yes,9,8,0,No,Female,90.65,70.91,92.99,0,Unplaced,IT
CLG0065,103,6.49,6.08,10,No,1,7,0,No,Female,76.26,84.95,50.17,0,Unplaced,IT
CLG0080,111,5.28,5.25,6,Yes,0,4,4,No,Male,95.19,99.97,59.5,0,Unplaced,IT
CLG0012,81,5.01,4.97,10,No,8,10,2,No,Male,85.95,85.51,60.98,0,Unplaced,IT
CLG0028,80,5.51,5.66,5,No,2,9,2,No,Male,95.97,88.08,97.5,0,Unplaced,HR
CLG0079,107,8.96,8.93,4,Yes,7,2,4,No,Male,84.94,96.92,57.68,0,Unplaced,Marketing
CLG0072,104,9.81,9.45,10,No,6,7,5,No,Female,65.25,55.68,51.85,0,Unplaced,IT
CLG0068,103,7.13,7.14,5,No,0,7,4,No,Male,72.39,85.24,76.72,0,Unplaced,Finance
CLG0095,105,7.56,7.97,9,No,10,7,5,No,Male,68.07,92.54,76.43,0,Unplaced,Finance
CLG0030,89,5.73,5.39,2,Yes,5,7,1,No,Male,96.35,97.72,92.2,0,Unplaced,Finance
CLG0035,103,7.76,7.95,6,No,7,5,4,No,Male,90.42,60.55,97.44,0,Unplaced,Finance
CLG0006,104,5.72,5.81,9,No,5,1,3,No,Male,87.06,75.2,76.93,0,Unplaced,HR
CLG0085,89,8.06,8.31,10,No,8,4,4,No,Female,72.04,84.03,96.5,0,Unplaced,Finance
CLG0030,127,9.67,9.32,5,Yes,9,5,1,No,Male,67.36,62.37,86.26,0,Unplaced,IT
CLG0080,107,5.98,6.42,6,No,2,10,4,No,Female,90.26,80.02,63.23,0,Unplaced,Operations
CLG0063,82,8.82,8.94,10,No,5,4,3,No,Male,78.97,62.88,96.42,0,Unplaced,Finance
CLG0008,109,5.12,5.47,4,Yes,9,7,4,No,Female,69.03,66.67,83.37,0,Unplaced,HR
CLG0091,85,6.88,6.63,5,No,3,2,5,No,Male,84.66,72.08,70.7,0,Unplaced,HR
CLG0033,111,5.55,5.79,8,No,9,2,0,No,Male,61.61,76.46,84.01,0,Unplaced,Finance
CLG0043,117,6.76,7.04,1,Yes,2,2,2,No,Female,73.05,72.47,70.07,0,Unplaced,Operations
CLG0076,87,5.87,5.77,1,Yes,7,10,3,No,Female,78.74,74.66,55.71,0,Unplaced,Finance
CLG0043,114,6.87,6.75,10,Yes,6,3,3,No,Female,65.92,64.93,85.95,0,Unplaced,HR
CLG0045,106,7.09,7.25,4,Yes,6,5,3,No,Male,99.39,57.95,91.2,0,Unplaced,Marketing
CLG0087,112,6.5,6.09,10,Yes,4,10,5,Yes,Female,68.36,52.37,86.44,600000,Unplaced,IT
CLG0054,128,8.28,8.52,3,Yes,0,9,0,Yes,Male,65.21,59.8,61.46,1200000,High,HR
CLG0065,96,9.59,9.13,5,Yes,5,3,0,No,Male,68.14,79.1,97.83,0,Unplaced,Finance
CLG0007,88,7.0,6.69,10,Yes,5,6,2,No,Female,90.76,89.31,51.26,0,Unplaced,IT
CLG0036,86,5.96,6.12,8,Yes,2,6,1,No,Female,77.02,58.46,66.63,0,Unplaced,Finance
CLG0025,87,6.35,5.95,1,No,4,6,2,No,Male,82.62,55.43,63.0,0,Unplaced,Finance
CLG0085,98,9.27,9.74,5,No,8,5,3,No,Male,60.84,87.46,52.41,0,Unplaced,Marketing
CLG0037,105,7.86,8.23,5,No,6,2,3,No,Female,61.38,65.26,70.29,0,Unplaced,IT
CLG0012,104,7.28,7.41,2,Yes,7,1,3,No,Female,77.83,97.57,81.16,0,Unplaced,IT
CLG0032,112,5.75,6.07,5,Yes,8,5,2,No,Female,92.67,85.72,94.13,0,Unplaced,Marketing
CLG0049,100,7.25,7.64,8,Yes,5,8,1,No,Male,95.41,66.34,99.48,0,Unplaced,HR
CLG0038,121,6.39,6.15,10,Yes,4,10,1,No,Male,63.47,64.48,90.4,0,Unplaced,Finance
CLG0056,96,9.72,10.07,7,No,9,5,2,No,Male,81.53,76.18,73.43,0,Unplaced,Operations
CLG0080,140,9.42,9.11,2,No,4,3,5,Yes,Male,96.53,53.96,86.19,300000,Average,Finance
CLG0065,109,5.42,5.33,6,Yes,4,3,3,No,Male,75.52,55.88,92.18,0,Unplaced,Finance
CLG0026,87,7.58,7.64,10,No,3,2,2,No,Male,93.18,58.79,73.27,0,Unplaced,HR
CLG0057,83,6.13,6.34,1,No,1,7,2,No,Female,65.35,88.74,89.25,0,Unplaced,Finance
CLG0014,107,7.05,6.58,10,No,6,2,4,No,Male,97.42,75.69,74.13,0,Unplaced,Marketing
CLG0056,96,9.38,9.17,10,Yes,6,6,4,No,Male,90.06,50.53,69.32,0,Unplaced,Marketing
CLG0070,110,7.64,7.75,3,Yes,7,8,0,No,Male,97.65,83.68,76.3,0,Unplaced,IT
CLG0041,107,6.67,6.53,6,No,7,8,0,No,Female,87.06,71.18,83.79,0,Unplaced,Operations
CLG0051,98,6.04,6.32,9,Yes,10,2,2,No,Male,74.54,75.54,86.34,0,Unplaced,Finance
CLG0084,87,9.0,9.15,1,No,7,6,4,No,Male,97.53,60.71,67.84,0,Unplaced,Finance
CLG0067,77,8.12,7.85,6,Yes,8,3,3,No,Female,71.02,77.59,78.57,0,Unplaced,HR
CLG0012,93,7.34,6.99,2,Yes,5,9,0,No,Male,73.29,98.96,95.49,0,Unplaced,Marketing
CLG0097,112,6.09,6.22,9,Yes,3,3,3,No,Male,88.03,53.67,98.82,0,Unplaced,Operations
CLG0049,103,6.67,6.62,2,Yes,1,1,3,No,Male,90.61,64.2,61.36,0,Unplaced,IT
CLG0001,81,9.8,9.47,3,No,4,9,0,No,Male,97.18,62.15,59.64,0,Unplaced,Marketing
CLG0019,102,7.6,7.43,2,Yes,5,8,5,No,Male,68.19,62.43,83.83,0,Unplaced,IT
CLG0066,105,7.0,6.8,4,Yes,6,2,2,No,Female,91.92,68.94,70.73,0,Unplaced,HR
CLG0058,86,7.61,7.22,4,No,5,10,4,No,Female,89.54,90.91,51.21,0,Unplaced,HR
CLG0087,102,8.89,8.94,10,Yes,3,10,0,No,Female,62.55,95.64,67.34,0,Unplaced,Finance
CLG0072,100,6.7,6.96,1,Yes,3,3,1,No,Male,75.49,60.11,90.34,0,Unplaced,Operations
CLG0098,82,5.89,5.97,8,Yes,6,7,1,No,Male,71.31,77.15,89.87,0,Unplaced,IT
CLG0004,105,7.92,8.25,5,Yes,0,6,3,No,Male,72.18,81.84,74.73,0,Unplaced,Marketing
CLG0008,108,8.33,7.96,8,No,2,8,1,No,Female,99.32,76.09,73.63,0,Unplaced,HR
CLG0027,116,8.56,8.5,6,Yes,9,10,3,Yes,Male,85.71,71.7,78.98,800000,Unplaced,Finance
CLG0026,115,9.41,9.52,2,No,1,5,5,Yes,Male,88.71,59.6,60.97,600000,Unplaced,Finance
CLG0097,79,6.86,7.04,7,No,1,5,5,No,Female,99.06,74.41,76.3,0,Unplaced,IT
CLG0043,85,5.38,5.58,10,No,6,2,5,No,Male,75.09,70.06,50.55,0,Unplaced,HR
CLG0040,107,9.79,10.02,9,No,4,6,5,No,Female,92.07,89.78,73.78,0,Unplaced,Operations
CLG0050,107,7.18,7.33,7,Yes,2,5,5,No,Female,77.38,88.18,66.8,0,Unplaced,HR
CLG0067,107,8.12,7.71,5,No,8,9,4,No,Female,94.78,56.7,83.74,0,Unplaced,IT
CLG0073,157,8.33,8.53,4,No,8,3,0,No,Male,67.23,54.43,81.92,0,Unplaced,IT
CLG0074,108,7.73,7.95,8,No,2,5,0,No,Male,97.91,95.41,69.04,0,Unplaced,HR
CLG0029,117,6.03,6.52,6,No,1,3,4,No,Male,68.75,76.78,50.36,0,Unplaced,IT
CLG0085,114,8.78,8.97,5,Yes,2,9,3,Yes,Male,73.05,92.89,62.61,1200000,High,HR
CLG0042,109,9.02,9.21,7,Yes,8,9,5,Yes,Male,90.25,52.91,81.67,1200000,High,Marketing
CLG0018,95,7.76,7.77,3,Yes,7,10,2,No,Male,75.75,76.33,53.62,0,Unplaced,HR
CLG0081,111,7.44,7.81,9,No,2,7,1,No,Male,84.33,76.97,55.38,0,Unplaced,HR
CLG0021,88,5.57,6.07,4,No,3,1,5,No,Female,77.78,93.04,82.35,0,Unplaced,IT
CLG0067,96,5.42,5.7,4,No,4,9,4,No,Male,89.69,54.88,87.79,0,Unplaced,IT
CLG0062,92,6.7,6.81,8,No,3,9,1,No,Female,69.13,62.02,66.08,0,Unplaced,Finance
CLG0027,101,6.55,6.13,6,Yes,10,10,2,No,Male,62.34,70.33,74.48,0,Unplaced,Finance
CLG0096,134,9.77,10.0,1,Yes,1,5,3,Yes,Male,72.0,93.29,97.29,600000,Unplaced,Marketing
CLG0093,71,8.92,9.13,2,No,10,2,5,No,Male,78.97,96.94,97.28,0,Unplaced,Finance
CLG0047,110,8.3,8.58,9,No,8,1,1,No,Female,66.72,99.64,65.38,0,Unplaced,HR
CLG0093,75,7.59,7.21,6,No,1,2,3,No,Female,74.19,97.96,90.5,0,Unplaced,IT
CLG0026,92,5.84,5.99,7,Yes,4,4,5,No,Female,76.0,50.3,79.7,0,Unplaced,Finance
CLG0009,116,9.89,9.69,9,No,10,4,2,Yes,Female,62.3,52.39,98.77,1200000,High,Finance
CLG0091,100,6.88,7.14,3,Yes,8,1,3,No,Male,83.33,57.38,73.88,0,Unplaced,Marketing
CLG0012,83,5.53,5.27,5,Yes,7,8,2,No,Female,95.37,67.44,88.74,0,Unplaced,Marketing
CLG0016,89,7.47,7.65,5,Yes,0,10,0,No,Male,66.07,91.5,88.41,0,Unplaced,HR
CLG0047,110,9.37,9.16,10,No,2,8,1,No,Male,83.91,94.63,74.87,0,Unplaced,IT
CLG0056,89,9.44,8.95,7,Yes,9,8,1,No,Female,86.59,59.34,89.78,0,Unplaced,Marketing
CLG0066,103,5.05,5.18,2,Yes,8,5,2,No,Female,76.77,80.98,63.05,0,Unplaced,Finance
CLG0051,100,9.43,9.04,4,No,2,10,2,Yes,Female,88.04,95.87,56.11,800000,Unplaced,IT
CLG0027,90,6.36,6.52,4,No,10,2,4,No,Female,76.43,73.19,71.26,0,Unplaced,IT
CLG0073,132,5.19,5.62,8,Yes,3,4,2,No,Female,80.19,55.18,97.18,0,Unplaced,Finance
CLG0066,109,9.24,9.71,10,Yes,2,1,2,No,Female,60.29,72.89,75.04,0,Unplaced,Marketing
CLG0062,69,9.32,9.06,3,No,6,10,3,Yes,Female,87.67,68.79,81.76,300000,Average,Finance
CLG0071,102,7.98,8.29,2,No,8,1,3,No,Female,86.45,78.88,81.21,0,Unplaced,IT
CLG0008,90,7.87,7.72,9,No,3,10,1,No,Male,61.54,71.93,56.63,0,Unplaced,Operations
CLG0038,112,9.07,9.47,4,No,8,3,3,Yes,Female,74.73,50.87,69.51,1000000,High,Operations
CLG0006,88,8.93,9.22,9,Yes,1,4,3,No,Female,99.16,99.7,85.35,0,Unplaced,HR
CLG0059,98,9.45,9.02,6,No,1,3,1,No,Male,76.83,77.18,98.6,0,Unplaced,Finance
CLG0019,107,7.76,7.67,1,No,8,3,5,No,Female,80.08,73.68,58.4,0,Unplaced,Finance
CLG0079,112,9.84,9.68,3,No,6,8,0,Yes,Male,96.4,97.73,70.52,1000000,High,HR
CLG0056,81,9.98,10.27,7,No,4,4,4,No,Male,88.69,57.79,54.75,0,Unplaced,HR
CLG0028,94,5.58,5.49,9,Yes,4,3,3,No,Female,83.28,59.46,62.12,0,Unplaced,HR
CLG0094,92,9.25,9.43,8,Yes,8,9,0,No,Male,91.91,90.4,68.84,0,Unplaced,IT
